id,year,sex,trip,tdr,duration,distance,range_max,prop_time_diving,straightness_index
F0422_26_SD,2022,M,1,0,329.5,118.81579751305387,44.58225484171497,0.01061410159211524,0.7134674848758035
F0422_26_SD,2022,M,2,0,164.5,62.94206451522135,23.73235848426212,0.007587253414264037,0.8076297226682883
F0422_26_SD,2022,M,3,0,169.25,72.93356136953501,28.380791889708632,0.01327433628318584,0.7875918472724017
F0422_27_SD,2022,M,1,0,76.75,49.72902348093585,20.75319127971369,0.016233766233766232,0.8127414691143966
F0422_27_SD,2022,M,2,0,249.25,114.86908184645934,38.69068117466316,0.021042084168336674,0.6439684639445401
F0422_27_SD,2022,M,3,0,329.5,154.55190567361143,68.35921820925309,0.015163002274450341,0.884406307993295
F0422_27_SD,2022,M,4,0,155.5,88.16625914509052,39.18737527479666,0.02086677367576244,0.8772550042636246
F0422_27_SD,2022,M,5,0,125.75,84.17915462131901,33.3747347772702,0.017857142857142856,0.7617591077004322
F0422_28_SD,2022,M,1,0,446.75,156.25499110776877,57.136718325112675,0.012304250559284116,0.635568988546113
F0422_28_SD,2022,M,2,0,344.5,114.4351228547222,44.699591314850984,0.013778100072516316,0.6534055721886044
F0422_29_SD,2022,F,1,0,246.5,110.22832327472615,39.46072187693591,0.022289766970618033,0.668072704528051
F0422_29_SD,2022,F,2,0,224.75,77.18282138399151,28.435037963746446,0.005555555555555556,0.6722461631247582
F0422_29_SD,2022,F,3,0,442.25,172.9678360464383,69.85674260475771,0.006779661016949152,0.7797023266185228
F0422_2_SD,2022,F,1,1,50.25,35.08070581925945,14.322389786067335,0.0049504950495049506,0.8220113868285923
F0422_2_SD,2022,F,2,1,215.5,93.26512714688086,34.082564237835996,0.0220162224797219,0.6457319010504348
F0422_2_SD,2022,F,3,1,183.5,75.58405991767904,22.20226263993138,0.012244897959183673,0.6090204535495541
F0422_2_SD,2022,F,4,1,147.75,80.79057088461661,31.26559310909338,0.016891891891891893,0.8494426125046686
F0422_2_SD,2022,F,5,1,241.75,109.66604355175238,45.23707299214102,0.007231404958677686,0.760477822751866
F0422_30_SD,2022,M,1,0,128.5,62.243740123106505,25.641561172351615,0.02524271844660194,0.8884753767204276
F0422_30_SD,2022,M,2,0,325.0,106.65263062745724,43.155656366827095,0.007686395080707148,0.7737041992569375
F0422_30_SD,2022,M,3,0,352.5,98.76533302509463,31.61361409689757,0.01842664776754075,0.5243844655788371
F0422_31_SD,2022,F,1,0,145.0,47.75285154532463,20.66959922915633,0.01721170395869191,0.9452167698860621
F0422_31_SD,2022,F,2,0,116.0,50.87562673681493,16.170772675979805,0.021505376344086023,0.6978099777054293
F0422_31_SD,2022,F,3,0,193.75,104.04757088826324,36.00391950912357,0.014175257731958763,0.8546649191318203
F0422_32_SD,2022,M,1,0,187.75,76.61014149852708,25.658977703294145,0.041223404255319146,0.6955915247591892
F0422_32_SD,2022,M,2,0,428.25,162.07257044624035,66.05975689140546,0.009334889148191364,0.7549306784717273
F0422_32_SD,2022,M,3,0,346.25,134.0450977152007,54.12236996906772,0.022366522366522368,0.8350774964158044
F0422_33_SD,2022,F,1,0,424.25,144.17594983096757,47.563544628465316,0.01060070671378092,0.651715555919333
F0422_33_SD,2022,F,2,0,285.0,98.61359918250243,34.142794806728624,0.007887817703768623,0.6835470397595271
F0422_33_SD,2022,F,3,0,415.5,172.71184754413866,60.82690246850473,0.017438364401683705,0.7679199561339394
F0422_34_SD,2022,M,1,0,248.0,93.42410916130179,24.173869260715573,0.02014098690835851,0.7009771508881998
F0422_34_SD,2022,M,2,0,441.5,135.4531485502108,45.61584741577458,0.011884550084889643,0.5899512046435732
F0422_34_SD,2022,M,3,0,299.75,131.7605531971004,38.77558154492565,0.029166666666666667,0.6152545027191131
F0422_35_SD,2022,M,1,0,4.0,2.1089456911624933,0.7398788800103491,0.0,0.5857945990763483
F0422_35_SD,2022,M,2,0,173.5,108.22076408933263,49.59333455586608,0.015827338129496403,0.8856375428419359
F0422_35_SD,2022,M,3,0,8.75,5.380076065640867,2.6197002661985618,0.0,0.9644164803156619
F0422_35_SD,2022,M,4,0,271.75,141.17603932517167,57.27928897421613,0.014705882352941176,0.7911964458516518
F0422_35_SD,2022,M,5,0,375.75,150.86799111341887,65.3212601111862,0.005984042553191489,0.8336050012167999
F0422_3_SD,2022,F,1,1,256.5,81.37551296102805,27.499164940695483,0.007789678675754625,0.5962986355996044
F0422_3_SD,2022,F,2,1,356.75,146.97127719275366,38.312541513947444,0.009103641456582634,0.44279934993948905
F0422_3_SD,2022,F,3,1,431.5,169.57977532323585,59.46255554802611,0.009264620729588882,0.6365536749588253
F0422_4_SD,2022,M,1,1,217.25,70.67900477730467,25.10817468663616,0.03793103448275862,0.7564674465975123
F0422_4_SD,2022,M,2,1,309.0,137.92313392885828,53.75270483592748,0.018593371059013743,0.7112398328066102
F0422_4_SD,2022,M,3,1,159.25,72.9708610613123,23.83634019945397,0.012539184952978056,0.5423213555424297
F0422_5_SD,2022,M,1,1,310.25,129.9895636574151,48.09943890859709,0.014492753623188406,0.6907545677423113
F0422_5_SD,2022,M,2,1,264.0,98.68036111199504,31.185389303604836,0.014191106906338695,0.5758957992373239
F0422_7_SD,2022,F,1,1,225.25,57.037489800086306,21.27618607985554,0.007760532150776054,0.7085908539841703
F0422_7_SD,2022,F,2,1,2.25,1.1935164860740337,0.6699303022075047,0.0,0.8760428149336246
F0422_7_SD,2022,F,3,1,234.5,87.27696359779156,31.440773258571248,0.019169329073482427,0.6718784947954848
F0422_7_SD,2022,F,4,1,484.5,159.2237343817845,52.234118808124734,0.010314595152140279,0.531737164884862
F0422_8_SD,2022,M,1,1,269.25,152.5498863782012,49.561775789956194,0.0027829313543599257,0.6329426846718463
F0422_8_SD,2022,M,2,1,2.5,1.365063716026921,0.7308872435325099,0.0,0.9148397291919176
F0422_8_SD,2022,M,3,1,106.5,60.442615231372265,21.835669795030103,0.03044496487119438,0.8611005763560885
F0422_8_SD,2022,M,4,1,212.25,97.0124847615274,34.97675222937015,0.021176470588235293,0.6591054374060938
F0422_8_SD,2022,M,5,1,218.25,86.66548559103367,27.601683810159614,0.009153318077803204,0.5809949706499704
F0422_9_SD,2022,F,1,1,166.5,110.87508604773842,50.1094281926508,0.008995502248875561,0.9698836809563497
F0422_9_SD,2022,F,2,1,116.75,74.31680901906184,34.6165803639565,0.01282051282051282,0.9506819194155857
F0422_9_SD,2022,F,3,1,142.75,51.185640168591306,17.429175139383965,0.019230769230769232,0.6023365085753195
F0422_9_SD,2022,F,4,1,133.0,77.59617252117474,30.598636415660962,0.01125703564727955,0.9075939540913174
F0422_9_SD,2022,F,5,1,290.75,158.22031472710376,59.088134286633,0.023195876288659795,0.8794790692799356
